Text,Difficulty,Difficulty Annotator 1,Difficulty Annotator 2,Difficulty Annotator 3
"Je m'appelle Angélica Summer, j'ai 12 ans et je suis canadienne.",,A1,A1,A1
Le bleu est très présent dans la nature : c’est la couleur du ciel et de la mer.,,A1,A1,A2
"Le rouge, le jaune et le bleu sont les trois couleurs primaires.",,A1,A1,A2
"En les mélangeant, on peut former d’autres couleurs. Le vert par exemple, est la couleur de l’herbe et des feuilles des arbres.",,A1,A1,B1
"L’orange est la couleur de certains fruits, comme l’orange qui porte son nom, la clémentine ou l’abricot.",,A1,A1,B1
Le violet se retrouve chez de nombreuses fleurs comme le lilas.,,A1,A1,A2
"Le brun, aussi appelé marron, est la couleur du café, de la terre et de l’écorce des arbres.",,A1,A1,B1
"Enfin, on trouve aussi le blanc, comme la neige, et le noir, comme la nuit.",,A1,A1,B1
"Entre les deux, il y a le gris : c’est un mélange de blanc et de noir.",,A1,A1,B1
L’automne débute fin septembre.,,A1,A1,A2
"Durant cette saison, les feuilles des arbres tombent et couvrent le sol d’un tapis brun, rouge et jaune.",,A1,A1,B1
"Le temps devient de plus en plus frais, il commence à y avoir de la pluie et du vent.",,A1,A1,B1
C’est le moment de sortir son manteau et son parapluie !,,A1,A1,B1
"L’automne est aussi la saison des récoltes : on ramasse le maïs, le tournesol, les pommes, le raisin…",,A1,A1,B1
"Vient ensuite l’hiver, la saison la plus froide qui commence fin décembre.",,A1,A1,B1
Le paysage devient tout blanc à cause de la neige et de la glace.,,A1,A1,B1
Cette période marque l’arrivée de Noël et des fêtes de fin d’année.,,A1,A1,B1
"Avec le printemps, qui commence en mars, le soleil est de retour et le temps se réchauffe.",,A1,A1,B1
La nature redevient verte : l’herbe et les fleurs poussent à nouveau.,,A1,A1,B1
"Il est agréable de se promener pour observer les papillons, les abeilles et écouter le chant des oiseaux.",,A1,A1,B1
"Enfin, l’été arrive à la fin du mois de juin.",,A1,A1,A2
"C’est la saison la plus chaude, pendant laquelle on recommence à mettre ses lunettes de soleil et à aller se promener sur la plage.",,A1,A1,B1
C’est aussi le moment idéal pour profiter de l’eau et aller nager à la mer ou à la piscine.,,A1,A1,B1
"Ma chère Sonia, Je suis bien arrivée à Londres pour ma dernière année d’études de marketing à l’université.",,A1,A1,B1
Là-bas tout le monde parle anglais !,,A1,A1,B1
Londres est différent de Paris.,,A1,A1,A2
"Par exemple, les bus sont rouges et certaines stations de métro semblent très anciennes.",,A1,A1,B1
Je partage un appartement avec deux autres étudiantes.,,A1,A1,A2
L’une s’appelle Jennifer et elle a 21 ans et l’autre s’appelle Ashley et elle a 22 ans.,,A1,A1,B1
Elles sont sympathiques.,,A1,A1,A1
"Elles m’ont promis de me faire découvrir tout Londres : nous visiterons les musées, les monuments et les parcs.",,A1,A1,A2
Nous irons aussi nous amuser à Camden Town et voir des concerts.,,A1,A1,A1
"Et bien sûr, nous irons faire du shopping à Oxford Street et dans le quartier de Covent Garden.",,A1,A1,B1
"J’ai hâte que tu viennes me rendre visite le mois prochain, pour te montrer mes endroits préférés !",,A1,A1,B1
"A très bientôt, bisous Emilie.",,A1,A1,A1
Je suis bien arrivée à Londres pour ma dernière année d’études de marketing à l’université.,,A1,A1,A2
Je m’appelle Marie.,,A1,A1,A1
Ma famille se compose de quatre personnes.,,A1,A1,A2
"Mon mari et moi avons deux enfants, une fille de sept ans et un garçon de trois ans.",,A1,A1,B1
"Nous avons également des animaux : un chat, un chien, deux lapins et des poissons rouges.",,A1,A1,B1
Nous vivons dans une jolie maison avec un grand jardin. Notre quartier est calme et paisible.,,A1,A1,B1
Je suis secrétaire et je m’occupe de mes deux enfants quand ils rentrent de l’école.,,A1,A1,B1
Mon mari est professeur d’anglais dans une école qui se trouve à 20 kilomètres de la maison.,,A1,A1,B1
"Le dimanche, nous aimons nous promener en famille dans la forêt proche de notre maison et faire des jeux.",,A1,A1,B1
Nous jouons dans le jardin quand il fait beau ou dans la maison quand il pleut.,,A1,A1,B1
Les grands-parents de nos enfants aiment passer du temps avec nous lors des vacances.,,A1,A1,B1
"Les parents de mon mari habitent très loin de chez nous, mais mes parents ont une maison à quelques kilomètres de la nôtre.",,A1,A1,B1
Les enfants aiment faire du vélo avec leur grand-père après l’école.,,A1,A1,B1
Ma fille fait parfois des gâteaux avec sa grand-mère le samedi après-midi.,,A1,A1,B1
Nous les mangeons ensemble le samedi soir.,,A1,A1,B1
Ma sœur habite également dans la même ville que nous.,,A1,A1,B1
"Elle a trois enfants, deux garçons et une fille.",,A1,A1,B1
"Ils aiment venir passer le week-end à la maison, ainsi mes enfants jouent avec leurs cousins dans le jardin.",,A1,A1,B1
J'habite une belle ville dans le nord de la France.,,A1,A1,B1
"Il y a un quartier très agréable pour aller se balader, lorsqu'il fait beau.",,A1,A1,B1
Il est possible de faire du vélo dans un parc autour d'une citadelle fortifiée.,,A1,A1,B1
"Dans le centre de la ville, il y a un très joli quartier, plein de magasins chics et de bons restaurants.",,A1,A1,B1
"Pour se déplacer, il y a des bus, des vélos et un métro.",,A1,A1,B1
"C'est pratique pour aller d'un centre commercial à un autre, pour aller à l'école, à la piscine, au stade ou encore au théâtre, parce que la ville est très grande.",,A1,A2,C1
Il est agréable de marcher dans les petites rues pour admirer l'architecture des maisons anciennes.,,A1,A1,B2
Je suis en vacances !,,A1,A1,B1
J’en profite pour faire une grasse-matinée et je sors de mon lit à dix heures.,,A1,A1,A2
Je prends mon petit-déjeuner dans la cuisine.,,A1,A1,A1
"Je mange deux tartines de pain, un grand bol de café et un yaourt aux fruits rouges.",,A1,A1,B1
Je vais ensuite prendre ma douche dans ma salle-de-bain.,,A1,A1,A2
J’enfile une jolie robe et je pars rejoindre mes amis au centre commercial.,,A1,A1,A2
"J’achète un livre, un pantalon et une nouvelle lampe pour ma chambre.",,A1,A1,A2
Il est l’heure de déjeuner !,,A1,A1,A1
Nous allons au restaurant.,,A1,A1,A1
Je commande du poisson avec de la purée.,,A1,A1,A2
"Cet après-midi, mes amis et moi allons au cinéma.",,A1,A1,A2
"Après avoir bu une tasse de thé dans un café, je rentre chez moi en bus.",,A1,A1,B1
J’ai passé une très bonne journée de vacances.,,A1,A1,B1
Vivement demain !,,A1,A1,A1
"Du 23 décembre au 2 janvier, nous allons faire du ski à Méribel.",,A1,A1,A2
Julien nous prête son appartement.,,A1,A1,A2
"Nous invitons Carine, l'amie de Margot.",,A1,A1,A2
Est-ce que tu voudrais venir avec nous ?,,A1,A1,A2
Je pars avec ma cousine Nathalie le 10 juillet à Paris pour une semaine.,,A1,A1,A2
"D'abord, nous voulions dormir à l'hôtel mais finalement Martine, mon amie d'enfance, nous a proposé d'aller chez elle alors nous avons accepté.",,A1,A2,B1
C'est très gentil de sa part !,,A1,A1,A2
Voudrais-tu te joindre à nous ?,,A1,A1,A2
Tu es vraiment la bienvenue.,,A1,A1,A2
Ça faisait longtemps que je ne m’étais pas fait plaisir.,,A1,A1,A2
"Hier, j’ai décidé de m’offrir une belle journée.",,A1,A1,A2
J’ai commencé ma journée en jouant du piano.,,A1,A1,A2
"Ces dernières années, j’avais un peu délaissé le piano et j’ai joué pendant une heure.",,A1,A1,A2
Que du bonheur !,,A1,A1,A2
"Ensuite, je suis sorti.",,A1,A1,A2
"Il a fait un temps magnifique, je suis allé me promener près du parc, il y avait un petit café ouvert.",,A1,A1,A2
Je me suis arrêté et je me suis bu une petite bière en terrasse.,,A1,A1,A2
"Le paradis, je vous le dis.",,A1,A1,A2
"Ça faisait longtemps que je ne m’étais pas bu une petite bière comme ça, tranquillou.",,A1,A2,A2
Marie m’a téléphoné et elle m’a rejoint.,,A1,A1,A2
On a beaucoup discuté de sa mère qui s’est cassé le poignet il y a deux mois.,,A1,A1,A2
Elle a dû faire beaucoup de rééducation mais elle est presque rétablie maintenant.,,A1,A1,A2
J’ai voulu lui offrir le café mais Marie n’a pas voulu : « chacun sa part ».,,A1,A1,A2
"Ensuite, Marie et moi, on est allés regarder dans une librairie et on a trouvé un livre de contes pour enfant très joli.",,A1,A1,B1
Ils sont tellement jolis qu’on a décidé d’en apprendre un par cœur.,,A1,A1,A2
On a passé le reste de la journée à faire les boutiques.,,A1,A1,A2
"Le soir, je suis rentré vraiment fatigué mais heureux.",,A2,A1,A2
C’est mon dernier jour dans cette école.,,A2,A1,A2
"Je t’invite à une fête chez moi, dimanche 24 juin à 14h30.",,A1,A1,A2
"On va se déguiser, se maquiller, danser et chanter.",,A1,A1,A2
On va manger des glaces et des bonbons.,,A2,A1,A2
"Toi, tu peux apporter un jus de fruits.",,A2,A1,A2
"Vous avez entre 14 et 18 ans, vous savez jouer d’un instrument de musique (piano, violon, guitare, tambour ou autre) ou vous aimez chanter, alors nous vous invitons à participer.",,A2,A1,B2
Comment ?,,A1,A1,A1
C’est facile !,,A2,A1,A1
Laurence attend votre inscription. Son bureau est entre la bibliothèque et la salle de dessin.,,A2,A1,A2
"Le lundi, David reste toute la journée à l’école.",,A2,A1,A1
"Souvent, le soir, il pratique une activité musicale : le piano.",,A1,A1,A2
"Le mardi ressemble au lundi sauf qu’il n’y a pas d’activité après l’école, David rentre chez lui pour faire ses devoirs et se reposer.",,A1,A2,A2
Il y a des régions où les enfants ne vont pas à l’école le mercredi.,,A1,A1,A2
"David, lui, va à l’école le mercredi matin.",,A2,A1,A2
"Le mercredi après-midi, il se détend et va jouer au football dans son club.",,A1,A1,A2
"Le jeudi est comme le mardi, on ne fait qu’aller à l’école.",,A1,A1,A2
"Le vendredi, la classe dure toute la journée mais elle est souvent plus courte pour laisser les élèves en week-end plus tôt.",,B1,A2,A2
La journée est longue pour David qui attend le samedi toute la semaine.,,A1,A1,A2
"Le samedi, il dispute des matchs de football avec son club dans le cadre de compétitions régionales.",,A1,A2,A2
"Le dimanche, il se repose et en profite pour faire ses devoirs pour la semaine.",,A1,A1,A2
