,Sentence,Eval 1,Eval 2,Eval 3
0,Ton chat s'étonne du mistral.,0,0,0
1,Les scribes arrogants crieront.,0,0,0
2,Une interlocutrice nage.,0,0,0
3,Nous nous lasserons de donneuses d'organes.,0,0,0
4,Vous assommez un caleçon rouillé !,0,0,0
5,Des résistants hélitreuillés traînent.,0,0,0
6,Vous tapez sur peu de gonfalons !,0,0,0
7,Certains agents doubles liment quatre fautes.,0,0,0
8,Assez de chasseurs se plaignent de tendons.,0,0,0
9,Je ferai attention à des orphelines.,0,0,0
10,Buster Keaton s'appuiera aux jardins...,0,0,0
11,Les héritiers détendus prient.,0,0,0
12,Lou Ferrigno attend treize rôles.,0,0,0
13,Des cinéphiles apparaissent au Chili.,0,0,0
14,Les créatures avaient faim.,0,0,0
15,Douteras-tu de la banlieue de Pont-à-Mousson ?,0,0,0
16,Un plaignant s'attaque au chat de Claire Chazal.,0,0,0
17,Le chat de Staline préconise les gemmes.,0,0,0
18,Je humais les côtés.,0,0,0
19,Le chat de Satan se lamente sur un organigramme.,0,0,0
20,Les autorités gloussent n'importe comment.,0,0,0
21,Les inconnues entraient chez nous avant mai 68.,0,0,0
22,Pythagore revient sans écrire.,0,0,0
23,Quelqu'un qui ressemble à Eva Longoria mue.,0,0,0
24,Elle se fait catapulter en ville.,0,0,0
25,Nous nous passons de la barre.,0,0,0
26,François Baroin se défoule sur quelques princes...,0,0,0
27,Popeye le marin part agir sur la maquette !,0,0,0
28,Une âme en peine a besoin de maladies...,0,0,0
29,Tu feras la cour à Pino D'Angio.,0,0,0
30,Ils font tache sur Internet jusqu'au bout...,0,0,0
31,J'ai raison de trimer.,0,0,0
32,Le gendarme rêvera.,0,0,0
33,Un tiers des sultans n'évitent pas l'opératrice.,0,0,0
34,Où congelez-vous les rampes ?,0,0,0
35,Eric Cantona appelle votre vestibule.,0,0,0
36,Je prédis l'avenir à Madame Olson...,0,0,0
37,Je cire les barres de fer.,0,0,0
38,Plusieurs jurés se mesurent à moins de souvenirs.,0,0,0
39,Est-ce que l'âme pratique le souvenir ?,0,0,0
40,Les ordures font fausse route ici.,0,0,0
41,Les gens retrouvent le dilettante !,0,0,0
42,Ils se trimbalent à environ dix kilomètres.,0,0,0
43,Les postulantes baptisent faussement un gouffre.,0,0,0
44,Un homme comptait dériver.,0,0,0
45,Trois opératrices régressent.,0,0,0
46,Tu défilais dans l'édifice en l'an 631 avant J.C..,0,0,0
47,Où amorçons-nous cinq ordres ?,0,0,0
48,Pascal Sevran fiche le camp chez vous.,0,0,0
49,Moins d'idoles se taillent au Japon.,0,0,0
50,Je prends exemple sur un germe.,0,0,0
51,Rita Hayworth relaie des trous et les outils.,0,0,0
52,La famille de Zorro prend racine.,0,0,0
53,Le bouc émissaire avoue avoir faim...,0,0,0
54,Est-ce qu'un sportif ne remue pas vraiment ?,0,0,0
55,Ursula Andress délire.,0,0,0
56,Les assassins se passent de Jean de la Fontaine.,0,0,0
57,Le prix Nobel de chimie nuit à des chiffres.,0,0,0
58,Des califes tablent sur un meurtrier psychopathe.,0,0,0
59,Onze ergonomes affamées fulminent !,0,0,0
60,Les interlocuteurs barboteront.,0,0,0
61,Je renâcle à m'appuyer sur ces linceuls.,0,0,0
62,Est-ce qu'une fillette disait mugir ?,0,0,0
63,Peu de polytechniciens avouent blémir.,0,0,0
64,Cette altermondialiste compte arriver...,0,0,0
65,Quatre collègues intérimaires financent une joue.,0,0,0
66,Ces chinois digéreront totalement.,0,0,0
67,Elle se souviendra du cargo.,0,0,0
68,Walt Disney poireaute au sud de Fort Alamo.,0,0,0
69,La punk clignote.,0,0,0
70,Vingt-quatre manipulateurs font grève.,0,0,0
71,Le botaniste campera dans la gueule du loup.,0,0,0
72,Tu diras relayer le noyau d'olive.,0,0,0
73,Un terroriste met un terme aux duchesses.,0,0,0
74,Des anthropopithèques cuisaient la forme.,0,0,0
75,Une éminence affirme grelotter.,0,0,0
76,Une série de sculpteurs s'accroche-t-il ?,0,0,0
77,"À l'arrêt du tram, nous nous vantons de geindre.",0,0,0
78,Nous sélectionnons nos frissons.,0,0,0
79,Une martyre ridée mange beaucoup de serbes...,0,0,0
80,Christophe Colomb s'enorgueillit du flamand.,0,0,0
81,Vous souvenez-vous de notre mollusque ?,0,0,0
82,Le non-fumeur médit des requins.,0,0,0
83,Le biographe attitré de David Bowie se baigne.,0,0,0
84,Le maître met le paquet sur le saut en longueur.,0,0,0
85,Pourquoi pose-t-elle problème aux occasions ?,0,0,0
86,Ce filou galope à l'ombre d'un peuplier.,0,0,0
87,L'agriculteur laconique se servait de mentalistes.,0,0,0
88,Tu reviens relayer des organigrammes.,0,0,0
89,Vos parents daignent beugler n'importe comment.,0,0,0
90,Elvis Presley affirmait ne pas vociférer...,0,0,0
91,Est-ce que je double-cliquerai ?,0,0,0
92,Des salariés se dégonflent !,0,0,0
93,Dick Rivers trépigne-t-il ?,0,0,0
94,Un séducteur mimera des compléments...,0,0,0
95,Elle évite la forêt.,0,0,0
96,Une cantatrice demande directement ton chat.,0,0,0
97,Est-ce que je me relève ?,0,0,0
98,Les pires escrocs cherchent refuge à Dubai.,0,0,0
99,Les copains seront en avance sur quarante vérités.,0,0,0
100,Pourquoi beaucoup de sculpteurs s'inquiètent-ils ?,0,0,0
101,Le futur prête l'oreille à un bras.,0,0,0
102,La parodie gothique de Pythagore perd la face.,0,0,0
103,Le champion de tir frissonne.,0,0,0
104,Dan Simmons imagine de ressusciter.,0,0,0
105,Treize hiérarques vérifient tes impulsions.,0,0,0
106,Le cycliste dérogeait à la blessure.,0,0,0
107,Un tatoueur pavoise en rougissant.,0,0,0
108,Cette doxographe arrogante casse la croûte !,0,0,0
109,Une compagne choie les casquettes en accélérant.,0,0,0
110,Est-ce qu'il téléphonait à des téléphones ?,0,0,0
111,Je visais à parler d'un birman aphone.,0,0,0
112,Des golfeurs perdaient la face.,0,0,0
113,Des maraudeurs s'appuieront aux élucubrations.,0,0,0
114,Les séducteurs mènent en se nourrissant.,0,0,0
115,La fée Clochette se venge sur l'outil.,0,0,0
116,Un compère de gauche chuinte !,0,0,0
117,Antoine de Caunes se détend...,0,0,0
118,Est-ce que la psychanaliste déroge aux achats ?,0,0,0
119,Est-ce qu'un ivrogne hait le rhinocéros ?,0,0,0
120,Mimie Mathy recommencera en rétrécissant !,0,0,0
121,Un funambule cuira-t-il l'usagère ?,0,0,0
122,Naomi Campbell repoussait un substrat.,0,0,0
123,Philippe Risoli nie attaquer des catastrophes.,0,0,0
124,Les enfants sans défense délibéraient-ils ?,0,0,0
125,Zabou Breitman déteste s'exiler en Russie !,0,0,0
126,L'abbé Pierre batifolera !,0,0,0
